"","l2fc","fg_exprs","bg_exprs"
"PUSL1",-0.590309224103652,7.68576964587663e-06,1.20770291097091e-05
"CPSF3L",-0.72020940790852,2.33075259280447e-05,3.90447321037908e-05
"CPTP",-0.809888571857716,7.64468924446524e-06,1.41547975586913e-05
"TAS1R3",0.987600093584638,1.92704428438889e-06,4.76155269558424e-07
"DVL1",-1.93831548368525,2.00547050526519e-06,1.05187027729725e-05
"MXRA8",-2.98350988941848,1.71790769538545e-07,8.26778695324172e-06
"AURKAIP1",-0.905295704273535,0.000126094424841292,0.000237038750554721
"CCNL2",-0.705146235528635,2.1305790004726e-05,3.53653504753848e-05
"MRPL20",-0.738005365272458,0.000120204989111677,0.000201153957967091
"RP4-758J18.13",-0.76723282399236,1.97932843163975e-07,1.03888422449111e-06
"ANKRD65",-3.7040367071376,5.71391037812986e-07,1.94790792092083e-05
"RP4-758J18.7",0,0,0
"TMEM88B",0,0,0
"RP4-758J18.10",-1.31450734220318,1.12037458394703e-08,1.51503949404953e-06
"VWA1",-4.90205799404252,2.98766555719208e-07,3.78327005085511e-05
"ATAD3C",-1.61064407735484,2.78599813208162e-06,1.05619896156596e-05
"ATAD3B",-0.824801361758107,5.20974181535369e-06,9.9992606607269e-06
"ATAD3A",-0.922417594468186,6.53925298830417e-06,1.32890607049487e-05
"TMEM240",-0.571571399297814,2.24074916789406e-08,5.19442112245553e-07
"SSU72",-0.747477382515455,0.000109639856785056,0.000184748244588669
"RP5-832C2.5",0.317305435079099,2.45735492079049e-06,1.77476055017231e-06
"AL645728.1",-0.0186643072790054,2.98766555719208e-08,4.32868426871295e-08
"C1orf233",-0.965868137446718,1.63948147450916e-06,4.15553689796443e-06
"RP11-345P4.9",-0.276901587148235,2.64781860006148e-06,3.41966057228323e-06
"MIB2",-0.323903492704846,1.2283040022006e-05,1.56265502100537e-05
"MMP23B",-0.535007556804248,1.54238234390041e-06,2.68378424660203e-06
"CDK11B",-0.152751679351125,1.39561327340335e-05,1.56265502100537e-05
"RP11-345P4.10",-0.179350642715031,4.18273178006892e-07,6.06015797619812e-07
"SLC35E2B",-0.867578783109938,1.23353241692568e-05,2.33316082083628e-05
"RP11-345P4.7",0.347806780792742,2.72624482093778e-07,0
"CDK11A",0.271581513828473,1.55694721349172e-05,1.27263317500161e-05
"SLC35E2",-0.0461274495389889,9.74725888033917e-07,1.03888422449111e-06
"NADK",-0.731018156510546,1.60064182226566e-05,2.72274240502044e-05
"GNB1",-0.549054458597329,5.85283682653929e-05,8.60975301047005e-05
"RP1-140A9.1",-0.285749410521549,3.17439465451659e-07,6.06015797619812e-07
"CALML6",-0.0344449844917722,1.86729097324505e-08,4.32868426871295e-08
"TMEM52",-1.78250832341896,7.87996790709412e-07,5.1511342797684e-06
"CFAP74",-1.75924278461243,6.12471439224377e-07,4.45854479677433e-06
"RP11-547D24.1",0.431907651044944,5.82594783652456e-07,1.73147370748518e-07
"GABRD",-0.109050331229096,7.46916389298021e-09,8.65736853742589e-08
"RP11-547D24.3",0.0319703127673192,2.24074916789406e-08,0
"PRKCZ",-2.05227438063222,3.85408856877779e-06,1.91327844677112e-05
"RP5-892K4.1",0.561994092373881,2.45735492079049e-06,1.34189212330101e-06
"RP11-181G12.2",-0.116469364857165,8.21608028227823e-08,1.73147370748518e-07
"FAAP20",-1.11702660229141,6.00707506092933e-05,0.000131462141240812
"RP11-181G12.4",-0.0504001867621332,7.46916389298021e-09,4.32868426871295e-08
"SKI",0.00819552295877167,1.41540655771975e-05,1.40682238733171e-05
"MORN1",-1.65156969314131,1.06809043669617e-06,5.49742902126544e-06
"RER1",-0.452186927137293,9.67069995043612e-05,0.000132674172836052
"PEX10",-1.02982388567316,8.43642061712114e-06,1.82670476139686e-05
"PLCH2",0.643062248165224,1.64321605645565e-06,6.92589482994071e-07
"RP3-395M20.2",0,0,0
"RP3-395M20.3",0,0,0
"PANK4",0.182054743929652,3.08103010585434e-06,2.59721056122777e-06
"HES5",-0.109050331229096,7.46916389298021e-09,8.65736853742589e-08
"RP3-395M20.12",1.30650591448628,7.79033794037835e-06,2.55392371854064e-06
"RP3-395M20.8",0.489260368119908,5.32551385569489e-06,3.50623425765749e-06
"TNFRSF14",1.15076930177307,6.03284367636011e-05,2.66214082525846e-05
"RP3-395M20.9",0.514831475506787,1.10917083810756e-06,4.76155269558424e-07
"FAM213B",-0.889005581475252,4.61220870391528e-06,9.39324486310709e-06
"MMEL1",-2.5138417821674,9.48583814408486e-07,1.01291211887883e-05
"RP13-436F16.1",0,0,0
"TTC34",-0.123780257311129,3.5478528491656e-07,4.76155269558424e-07
"RP11-740P5.2",0,0,0
"RP11-740P5.3",0,0,0
"ACTRT2",0,0,0
"LINC00982",-0.989693542816887,4.85495653043713e-08,1.08217106717824e-06
"PRDM16",-2.16143279725136,1.71790769538545e-07,4.24211058333869e-06
